 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\c_in_cf4_30torr.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.5500E-04 g/cm3 = 5.3033E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  27.50 keV   9.751E-03  6.132E-03    1.36 mm   515.38 um   402.01 um  
  30.00 keV   1.008E-02  5.896E-03    1.49 mm   549.72 um   432.51 um  
  32.50 keV   1.046E-02  5.680E-03    1.61 mm   582.82 um   462.61 um  
  35.00 keV   1.086E-02  5.483E-03    1.74 mm   614.57 um   492.26 um  
  37.50 keV   1.126E-02  5.301E-03    1.87 mm   645.01 um   521.41 um  
  40.00 keV   1.165E-02  5.132E-03    1.99 mm   674.23 um   550.01 um  
  45.00 keV   1.236E-02  4.831E-03    2.24 mm   729.54 um   605.63 um  
  50.00 keV   1.298E-02  4.568E-03    2.48 mm   781.14 um   659.04 um  
  55.00 keV   1.351E-02  4.337E-03    2.72 mm   829.68 um   710.40 um  
  60.00 keV   1.396E-02  4.131E-03    2.96 mm   875.66 um   759.92 um  
  65.00 keV   1.435E-02  3.947E-03    3.20 mm   919.48 um   807.81 um  
  70.00 keV   1.469E-02  3.781E-03    3.43 mm   961.42 um   854.25 um  
  80.00 keV   1.526E-02  3.494E-03    3.91 mm     1.04 mm   943.50 um  
  90.00 keV   1.573E-02  3.253E-03    4.38 mm     1.12 mm     1.03 mm  
 100.00 keV   1.615E-02  3.047E-03    4.85 mm     1.19 mm     1.11 mm  
 110.00 keV   1.654E-02  2.869E-03    5.31 mm     1.25 mm     1.19 mm  
 120.00 keV   1.691E-02  2.714E-03    5.78 mm     1.31 mm     1.26 mm  
 130.00 keV   1.729E-02  2.576E-03    6.24 mm     1.37 mm     1.34 mm  
 140.00 keV   1.767E-02  2.454E-03    6.70 mm     1.43 mm     1.41 mm  
 150.00 keV   1.805E-02  2.344E-03    7.15 mm     1.48 mm     1.47 mm  
 160.00 keV   1.845E-02  2.245E-03    7.60 mm     1.53 mm     1.54 mm  
 170.00 keV   1.887E-02  2.155E-03    8.05 mm     1.58 mm     1.60 mm  
 180.00 keV   1.930E-02  2.072E-03    8.49 mm     1.62 mm     1.67 mm  
 200.00 keV   2.021E-02  1.928E-03    9.34 mm     1.71 mm     1.78 mm  
 225.00 keV   2.143E-02  1.776E-03   10.38 mm     1.81 mm     1.92 mm  
 250.00 keV   2.272E-02  1.648E-03   11.37 mm     1.89 mm     2.04 mm  
 275.00 keV   2.408E-02  1.540E-03   12.32 mm     1.96 mm     2.15 mm  
 300.00 keV   2.547E-02  1.447E-03   13.23 mm     2.03 mm     2.26 mm  
 325.00 keV   2.690E-02  1.365E-03   14.09 mm     2.09 mm     2.35 mm  
